z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-22.71,21.34,16.666,16666.0,16746.22,374.96200000000005,162.962,81.0,100.46058590346217,0.5357520372695407
-22.73,21.36,16.684,16684.0,16764.22,375.372,163.172,80.0,100.4390949427598,0.5356947290142021
-22.75,21.38,16.49,16490.0,16570.219999999998,375.78200000000004,163.382,79.0,99.120086668054,0.5321656204820182
-22.77,21.4,16.217,16216.999999999998,16297.639999999998,376.192,163.59199999999998,79.0,97.32412342901853,0.5273224099949765
-22.790000000000003,21.42,15.947,15947.0,16027.22,376.6020000000001,163.80200000000002,78.0,95.54595181988007,0.5224829506989543
-22.81,21.44,15.801,15801.0,15881.640000000001,377.012,164.012,77.0,94.53349754895983,0.5197073284866612
-22.83,21.46,15.687,15687.0,15768.06,377.42199999999997,164.22199999999998,77.0,93.7184908233976,0.5174621886073212
-22.85,21.48,15.585,15585.0,15666.060000000001,377.83200000000005,164.43200000000002,79.0,92.97599007492458,0.515408271109764
-22.87,21.5,15.612,15612.0,15693.06,378.242,164.642,80.0,93.01890161684139,0.5155271965026021
-22.89,21.52,15.62,15620.0,15701.06,378.65200000000004,164.852,79.0,92.94644893601533,0.5153263846091422
-22.91,21.54,15.628,15628.0,15709.06,379.062,165.062,79.0,92.87418061092195,0.5151260056971414
-22.93,21.56,15.635,15635.0,15716.480000000001,379.472,165.272,80.0,92.79858657243818,0.5149163221130155
-22.95,21.58,15.652,15652.0,15733.06,379.882,165.48199999999997,82.0,92.77853784701661,0.5148606964080301
-22.97,21.6,15.771,15771.0,15852.480000000001,380.292,165.69199999999998,82.0,93.37920961784518,0.5165246768212259
-22.99,21.62,15.95,15950.0,16031.479999999998,380.702,165.902,83.0,94.33748839676436,0.5191682589812405
-23.01,21.64,16.147,16146.999999999998,16228.479999999998,381.112,166.11200000000002,83.0,95.40170487382005,0.5220884021307942
-23.03,21.66,16.378,16378.0,16459.48,381.52200000000005,166.322,82.0,96.66765671408471,0.5255409640526464
-23.05,21.68,16.626,16626.0,16707.48,381.932,166.532,82.0,98.03249825859292,0.5292379919917015
-23.07,21.7,16.64,16640.0,16721.48,382.342,166.742,82.0,97.99053627760253,0.5291247119471458
-23.09,21.72,16.505,16505.0,16586.9,382.752,166.952,84.0,97.05872346542719,0.5266029229625004
-23.11,21.74,16.408,16408.0,16489.9,383.162,167.16199999999998,85.0,96.3540637226164,0.5246878356906716
-23.130000000000003,21.76,16.481,16481.0,16562.9,383.57200000000006,167.372,85.0,96.6668737901202,0.525538835835918
-23.15,21.78,16.596,16596.0,16677.9,383.98199999999997,167.582,85.0,97.22952345717322,0.5270660664936287
-23.17,21.8,16.512,16512.0,16594.32,384.39200000000005,167.79200000000003,84.0,96.60727567464478,0.5253768053900384
-23.19,21.82,16.252,16251.999999999998,16334.319999999998,384.802,168.002,88.0,94.936476946703,0.5208138602135891
-23.21,21.84,15.941,15941.0,16023.320000000002,385.21200000000005,168.212,90.0,92.96666111811288,0.5153824131322651
-23.23,21.86,15.572,15572.0,15654.74,385.622,168.422,90.0,90.65987816318534,0.508948153865781
-23.25,21.88,15.334,15334.0,15416.740000000002,386.03200000000004,168.632,89.0,89.13318943023864,0.5046446824399992
-23.27,21.9,15.244,15244.0,15326.320000000002,386.442,168.84199999999998,89.0,88.48437000272445,0.5028046198296808
-23.290000000000003,21.92,15.218,15218.0,15300.74,386.8520000000001,169.05200000000002,87.0,88.22071315334925,0.5020549575874546
-23.31,21.94,15.319,15319.0,15401.74,387.262,169.262,81.0,88.7055452493767,0.5034326320355278
-23.33,21.96,15.443,15443.0,15525.740000000002,387.67199999999997,169.47199999999998,72.0,89.32489142749246,0.5051870698138674
-23.35,21.98,15.56,15560.0,15642.32,388.08200000000005,169.68200000000002,64.0,89.8989757310734,0.5068078692902227
-23.37,22.0,15.751,15751.0,15833.74,388.492,169.892,68.0,90.91215595790267,0.5096557828795618
-23.39,22.02,16.004,16004.000000000002,16086.740000000002,388.90200000000004,170.102,68.0,92.28485261784107,0.5134890529305819
-23.41,22.04,16.317,16317.0,16400.58,389.312,170.312,71.0,94.01139085912914,0.5182701746031949
-23.43,22.06,16.631,16631.0,16715.0,389.722,170.522,79.0,95.73707791370029,0.5230052660584384
